SID0000001,2020-03-02
SID0000005,2020-03-02
SID0000009,2020-03-02
SID0000010,2020-03-02
SID0000013,2020-03-02
SID0000014,2020-03-02
SID0000015,2020-03-02
SID0000016,2020-03-02
SID0000017,2020-03-02
SID0000018,2020-03-02
SID0000019,2020-03-02
SID0000022,2020-03-02
SID0000023,2020-03-02
SID0000027,2020-03-02
SID0000028,2020-03-02
SID0000030,2020-03-02
SID0000031,2020-03-02
SID0000033,2020-03-02
SID0000034,2020-03-02
SID0000036,2020-03-02
SID0000037,2020-03-02
SID0000038,2020-03-02
SID0000039,2020-03-02
SID0000042,2020-03-02
SID0000043,2020-03-02
SID0000044,2020-03-02
SID0000045,2020-03-02
SID0000046,2020-03-02
SID0000049,2020-03-02
SID0000051,2020-03-02
SID0000052,2020-03-02
SID0000053,2020-03-02
SID0000055,2020-03-02
SID0000056,2020-03-02
SID0000058,2020-03-02
SID0000059,2020-03-02
SID0000062,2020-03-02
SID0000063,2020-03-02
SID0000065,2020-03-02
SID0000066,2020-03-02
SID0000067,2020-03-02
SID0000068,2020-03-02
SID0000069,2020-03-02
SID0000070,2020-03-02
SID0000071,2020-03-02
SID0000073,2020-03-02
SID0000075,2020-03-02
SID0000077,2020-03-02
SID0000079,2020-03-02
SID0000080,2020-03-02
SID0000081,2020-03-02
SID0000082,2020-03-02
SID0000083,2020-03-02
SID0000085,2020-03-02
SID0000086,2020-03-02
SID0000090,2020-03-02
SID0000091,2020-03-02
SID0000094,2020-03-02
SID0000096,2020-03-02
SID0000098,2020-03-02
SID0000103,2020-03-02
SID0000104,2020-03-02
SID0000107,2020-03-02
SID0000108,2020-03-02
SID0000112,2020-03-02
SID0000113,2020-03-02
SID0000114,2020-03-02
SID0000115,2020-03-02
SID0000117,2020-03-02
SID0000119,2020-03-02
SID0000120,2020-03-02
SID0000121,2020-03-02
SID0000122,2020-03-02
SID0000125,2020-03-02
SID0000129,2020-03-02
SID0000132,2020-03-02
SID0000133,2020-03-02
SID0000134,2020-03-02
SID0000136,2020-03-02
SID0000137,2020-03-02
SID0000142,2020-03-02
SID0000143,2020-03-02
SID0000144,2020-03-02
SID0000145,2020-03-02
SID0000146,2020-03-02
SID0000147,2020-03-02
SID0000148,2020-03-02
SID0000149,2020-03-02
SID0000150,2020-03-02
SID0000152,2020-03-02
SID0000153,2020-03-02
SID0000154,2020-03-02
SID0000155,2020-03-02
SID0000156,2020-03-02
SID0000157,2020-03-02
SID0000159,2020-03-02
SID0000163,2020-03-02
SID0000164,2020-03-02
SID0000166,2020-03-02
SID0000168,2020-03-02
SID0000169,2020-03-02
SID0000170,2020-03-02
SID0000174,2020-03-02
SID0000177,2020-03-02
SID0000178,2020-03-02
SID0000181,2020-03-02
SID0000182,2020-03-02
SID0000185,2020-03-02
SID0000186,2020-03-02
SID0000187,2020-03-02
SID0000188,2020-03-02
SID0000189,2020-03-02
SID0000191,2020-03-02
SID0000193,2020-03-02
SID0000194,2020-03-02
SID0000195,2020-03-02
