ASSIG00M11,TID0000001,1,Maths,SKV Rohini,2020-09-20,0,Complete and submit by the deadline.
ASSIG00S11,TID0000002,1,Science,SKV Rohini,2020-05-12,0,Complete and submit by the deadline.
ASSIG00H11,TID0000003,1,Hindi,SKV Rohini,2020-02-14,0,Complete and submit by the deadline.
ASSIG00G11,TID0000004,1,GK,SKV Rohini,2020-06-12,0,Complete and submit by the deadline.
ASSIG00E11,TID0000005,1,English,SKV Rohini,2020-06-14,0,Complete and submit by the deadline.
ASSIG00M12,TID0000006,2,Maths,SKV Rohini,2020-05-15,0,Complete and submit by the deadline.
ASSIG00S12,TID0000007,2,Science,SKV Rohini,2020-09-17,0,Complete and submit by the deadline.
ASSIG00H12,TID0000008,2,Hindi,SKV Rohini,2020-01-11,0,Complete and submit by the deadline.
ASSIG00G12,TID0000009,2,GK,SKV Rohini,2020-06-16,0,Complete and submit by the deadline.
ASSIG00E12,TID0000010,2,English,SKV Rohini,2020-04-11,0,Complete and submit by the deadline.
ASSIG00M13,TID0000011,3,Maths,SKV Rohini,2020-05-15,0,Complete and submit by the deadline.
ASSIG00S13,TID0000012,3,Science,SKV Rohini,2020-09-14,0,Complete and submit by the deadline.
ASSIG00H13,TID0000013,3,Hindi,SKV Rohini,2020-09-16,0,Complete and submit by the deadline.
ASSIG00G13,TID0000014,3,GK,SKV Rohini,2020-02-11,0,Complete and submit by the deadline.
ASSIG00E13,TID0000015,3,English,SKV Rohini,2020-05-11,0,Complete and submit by the deadline.
ASSIG00M14,TID0000016,4,Maths,SKV Rohini,2020-04-14,0,Complete and submit by the deadline.
ASSIG00S14,TID0000017,4,Science,SKV Rohini,2020-01-11,0,Complete and submit by the deadline.
ASSIG00H14,TID0000018,4,Hindi,SKV Rohini,2020-06-16,0,Complete and submit by the deadline.
ASSIG00G14,TID0000019,4,GK,SKV Rohini,2020-01-20,0,Complete and submit by the deadline.
ASSIG00E14,TID0000020,4,English,SKV Rohini,2020-01-20,0,Complete and submit by the deadline.
ASSIG00M15,TID0000021,5,Maths,SKV Rohini,2020-08-13,0,Complete and submit by the deadline.
ASSIG00S15,TID0000022,5,Science,SKV Rohini,2020-05-16,0,Complete and submit by the deadline.
ASSIG00H15,TID0000023,5,Hindi,SKV Rohini,2020-09-17,0,Complete and submit by the deadline.
ASSIG00G15,TID0000024,5,GK,SKV Rohini,2020-09-20,0,Complete and submit by the deadline.
ASSIG00E15,TID0000025,5,English,SKV Rohini,2020-09-14,0,Complete and submit by the deadline.
ASSIG00M16,TID0000026,6,Maths,SKV Rohini,2020-01-19,0,Complete and submit by the deadline.
ASSIG00S16,TID0000027,6,Science,SKV Rohini,2020-03-20,0,Complete and submit by the deadline.
ASSIG00H16,TID0000028,6,Hindi,SKV Rohini,2020-03-17,0,Complete and submit by the deadline.
ASSIG00G16,TID0000029,6,GK,SKV Rohini,2020-09-16,0,Complete and submit by the deadline.
ASSIG00E16,TID0000030,6,English,SKV Rohini,2020-01-19,0,Complete and submit by the deadline.
ASSIG00M17,TID0000031,7,Maths,SKV Rohini,2020-09-11,0,Complete and submit by the deadline.
ASSIG00S17,TID0000032,7,Science,SKV Rohini,2020-04-18,0,Complete and submit by the deadline.
ASSIG00H17,TID0000033,7,Hindi,SKV Rohini,2020-09-16,0,Complete and submit by the deadline.
ASSIG00G17,TID0000034,7,GK,SKV Rohini,2020-06-14,0,Complete and submit by the deadline.
